City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tolaga Bay,NZ,2021-01-30 23:01:37,-38.3667,178.3,62.28,72,94,11.36
1,Asau,RO,2021-01-30 23:01:36,46.4333,26.4,43.0,70,0,10.36
2,Beringovskiy,RU,2021-01-30 23:01:37,63.05,179.3167,8.2,95,100,26.42
3,Hilo,US,2021-01-30 22:57:47,19.7297,-155.09,78.8,61,1,5.75
4,Nabire,ID,2021-01-30 23:10:00,-3.3667,135.4833,77.43,88,100,2.73
5,Port Alfred,ZA,2021-01-30 23:01:38,-33.5906,26.891,64.0,92,20,1.86
6,Taoudenni,ML,2021-01-30 23:06:53,22.6783,-3.9836,69.51,22,0,10.74
7,Norman Wells,CA,2021-01-30 23:02:01,65.282,-126.8329,-25.6,68,40,3.44
8,San Nicolas,PH,2021-01-30 23:11:01,18.1725,120.5953,66.2,72,75,3.44
9,Galle,LK,2021-01-30 23:09:12,6.0367,80.217,77.31,85,95,3.49
10,Busselton,AU,2021-01-30 23:00:28,-33.65,115.3333,64.99,78,0,3.0
11,Port Lincoln,AU,2021-01-30 23:02:36,-34.7333,135.8667,63.66,71,2,17.07
12,Srednekolymsk,RU,2021-01-30 23:02:01,67.45,153.6833,-33.02,84,100,3.29
13,Ancud,CL,2021-01-30 23:07:11,-41.8697,-73.8203,62.6,55,0,6.91
14,Ushuaia,AR,2021-01-30 22:59:45,-54.8,-68.3,51.8,62,20,25.32
15,Vaini,TO,2021-01-30 23:01:38,-21.2,-175.2,82.4,83,75,6.91
16,Carnarvon,AU,2021-01-30 23:02:00,-24.8667,113.6333,80.6,94,6,5.12
17,Vardo,NO,2021-01-30 23:01:37,70.3705,31.1107,25.41,96,100,20.15
18,Tiznit,MA,2021-01-30 23:02:33,29.5833,-9.5,55.71,89,48,4.85
19,Albany,US,2021-01-30 22:58:19,42.6001,-73.9662,18.0,55,14,8.01
20,Mar Del Plata,AR,2021-01-30 23:02:14,-38.0023,-57.5575,63.0,59,75,18.41
21,Narsaq,GL,2021-01-30 23:01:55,60.9167,-46.05,39.2,30,75,36.82
22,Ribeira Grande,PT,2021-01-30 23:01:47,38.5167,-28.7,63.14,90,56,22.77
23,Cabedelo,BR,2021-01-30 23:08:45,-6.9811,-34.8339,78.8,83,20,6.91
24,Manavgat,TR,2021-01-30 23:11:03,36.7867,31.4431,53.01,76,40,12.66
25,Leningradskiy,RU,2021-01-30 23:01:41,69.3833,178.4167,-27.31,81,0,3.65
26,Asyut,EG,2021-01-30 23:11:04,27.181,31.1837,50.0,62,0,4.61
27,Qaanaaq,GL,2021-01-30 23:01:54,77.484,-69.3632,-4.22,72,100,1.72
28,Dunedin,NZ,2021-01-30 22:57:58,-45.8742,170.5036,62.01,69,28,18.01
29,Punta Arenas,CL,2021-01-30 23:01:07,-53.15,-70.9167,55.4,58,0,21.85
30,Rikitea,PF,2021-01-30 23:01:37,-23.1203,-134.9692,79.16,74,2,11.18
31,Miles City,US,2021-01-30 23:03:24,46.4083,-105.8406,30.2,86,90,9.22
32,Mahibadhoo,MV,2021-01-30 23:11:05,3.7833,72.9667,80.58,78,23,14.29
33,Havoysund,NO,2021-01-30 23:11:05,70.9963,24.6622,26.6,80,75,10.36
34,Tiksi,RU,2021-01-30 23:01:44,71.6872,128.8694,-28.16,86,100,5.03
35,Aksu,CN,2021-01-30 23:02:02,41.1231,80.2644,17.33,83,0,3.62
36,Lakota,CI,2021-01-30 23:11:06,5.8528,-5.6883,74.82,92,100,4.52
37,Avarua,CK,2021-01-30 23:01:37,-21.2078,-159.775,78.8,78,75,5.75
38,Odienne,CI,2021-01-30 23:11:06,9.51,-7.5692,74.66,19,78,2.24
39,Charleston,US,2021-01-30 23:06:39,32.7766,-79.9309,48.2,66,1,8.05
40,Hobart,AU,2021-01-30 22:59:59,-42.8794,147.3294,69.01,48,20,11.5
41,Camabatela,AO,2021-01-30 23:11:07,-8.1881,15.375,62.04,100,100,3.6
42,Clyde River,CA,2021-01-30 23:02:00,70.4692,-68.5914,-18.4,76,1,7.31
43,Barrow,US,2021-01-30 22:59:57,71.2906,-156.7887,-9.4,70,90,9.22
44,Puerto Ayora,EC,2021-01-30 23:01:42,-0.7393,-90.3518,84.2,70,0,12.66
45,Doha,QA,2021-01-30 23:06:48,25.2867,51.5333,66.2,63,0,11.5
46,Bluff,NZ,2021-01-30 23:01:47,-46.6,168.3333,57.16,67,100,0.98
47,Upernavik,GL,2021-01-30 23:02:06,72.7868,-56.1549,-9.83,84,26,6.22
48,Wawa,NG,2021-01-30 23:11:08,9.9022,4.4192,80.47,18,0,8.41
49,Jamestown,US,2021-01-30 23:01:30,42.097,-79.2353,19.0,73,1,1.63
50,Hermanus,ZA,2021-01-30 23:01:49,-34.4187,19.2345,66.99,85,3,9.48
51,Provideniya,RU,2021-01-30 23:01:53,64.3833,-173.3,-12.08,83,84,11.72
52,Muros,ES,2021-01-30 22:57:15,42.7762,-9.0603,55.99,76,100,5.01
53,Atuona,PF,2021-01-30 22:57:06,-9.8,-139.0333,78.93,76,28,19.55
54,San Quintin,MX,2021-01-30 23:01:28,30.4833,-115.95,60.87,59,0,11.25
55,Morehead,US,2021-01-30 23:11:09,37.2711,-87.1764,45.0,56,90,10.36
56,San Patricio,US,2021-01-30 23:01:47,28.017,-97.5169,84.2,58,40,14.97
57,Namibe,AO,2021-01-30 23:08:57,-15.1961,12.1522,73.2,77,67,8.52
58,Upington,ZA,2021-01-30 23:11:09,-28.4478,21.2561,68.0,28,0,3.44
59,Airai,TL,2021-01-30 23:01:39,-8.9266,125.4092,61.66,100,100,5.35
60,Abu Samrah,SY,2021-01-30 23:09:28,35.3029,37.1841,49.23,67,98,13.56
61,Mealhada,PT,2021-01-30 23:11:09,40.3781,-8.4499,55.99,86,63,3.0
62,Saint-Pierre,RE,2021-01-30 23:07:24,-21.3393,55.4781,78.8,65,0,6.91
63,Butaritari,KI,2021-01-30 23:01:06,3.0707,172.7902,81.16,77,67,17.87
64,Kasamwa,TZ,2021-01-30 23:09:10,-2.85,32.4333,65.07,82,77,2.37
65,Tasiilaq,GL,2021-01-30 23:01:45,65.6145,-37.6368,21.2,35,90,17.27
66,Berdigestyakh,RU,2021-01-30 23:08:40,62.0989,126.6992,-45.81,76,75,1.28
67,Vila Velha,BR,2021-01-30 22:58:16,-20.3297,-40.2925,80.6,74,0,13.8
68,Kodiak,US,2021-01-30 23:01:48,57.79,-152.4072,33.8,55,1,23.02
69,Yellowknife,CA,2021-01-30 23:01:40,62.456,-114.3525,-9.99,77,75,4.61
70,Mae Sai,TH,2021-01-30 23:11:11,20.4335,99.8762,66.2,100,20,3.44
71,Taonan,CN,2021-01-30 23:11:11,45.3333,122.7833,-4.99,89,100,6.85
72,Saint-Philippe,RE,2021-01-30 23:01:47,-21.3585,55.7679,78.8,65,0,6.91
73,Cape Town,ZA,2021-01-30 22:57:17,-33.9258,18.4232,72.0,77,75,1.14
74,Kapaa,US,2021-01-30 23:01:40,22.0752,-159.319,78.8,65,75,16.11
75,Thessalon,CA,2021-01-30 23:11:12,46.2501,-83.5666,21.2,68,1,9.28
76,Council Bluffs,US,2021-01-30 23:11:01,41.2619,-95.8608,34.0,93,90,20.71
77,Kloulklubed,PW,2021-01-30 23:07:02,7.0419,134.2556,82.4,74,75,9.22
78,Touros,BR,2021-01-30 23:02:22,-5.1989,-35.4608,80.6,78,0,8.05
79,Kaitangata,NZ,2021-01-30 22:59:58,-46.2817,169.8464,61.0,79,68,11.01
80,Constanza,DE,2021-01-30 23:11:13,47.6603,9.1758,43.0,95,100,4.0
81,Dhidhdhoo,MV,2021-01-30 23:11:13,6.8833,73.1,81.14,66,3,7.54
